time,x,x_dot,theta,theta_dot,torque
1.245,0.31889385,0.39765832,3.0274017,-0.0629213,7.7137146
1.25,0.3197186,0.39726627,3.0273638,-0.06295924,7.713974
1.2550000000000001,0.32054257,0.3968759,3.0273259,-0.06299121,7.714905
1.26,0.32136577,0.39648542,3.027288,-0.063022904,7.714813
1.2650000000000001,0.3221882,0.39609554,3.02725,-0.063052244,7.715088
1.27,0.32300982,0.39570597,3.027212,-0.06308022,7.7151947
1.2750000000000001,0.3238307,0.3953182,3.0271738,-0.063101575,7.7162476
1.28,0.32465076,0.3949303,3.0271356,-0.06312324,7.716049
1.285,0.3254701,0.394543,3.0270975,-0.06314233,7.7163696
1.29,0.3262886,0.39415592,3.027059,-0.06316015,7.716461
1.295,0.3271064,0.39377075,3.027021,-0.063171305,7.7175293
1.3,0.32792336,0.393384,3.0269825,-0.06318723,7.7165375
1.305,0.32873958,0.39299977,3.0269442,-0.06319438,7.717972
1.31,0.32955503,0.3926151,3.0269058,-0.063202575,7.7176514
1.315,0.3303697,0.3922312,3.0268674,-0.06320791,7.718033
1.32,0.33118364,0.39184743,3.026829,-0.06321223,7.7180786
1.325,0.33199677,0.39146417,3.0267906,-0.063214466,7.7183228
1.33,0.33280918,0.39108127,3.0267522,-0.06321492,7.718506
1.335,0.3336208,0.3906988,3.0267138,-0.06321364,7.718689
1.34,0.33443165,0.39031667,3.0266755,-0.06321065,7.718857
1.345,0.33524173,0.38993496,3.026637,-0.06320593,7.71904
1.35,0.33605105,0.38955355,3.0265987,-0.063199796,7.719162
1.355,0.33685964,0.38917267,3.0265603,-0.06319156,7.719406
1.36,0.33766744,0.388792,3.026522,-0.06318208,7.7194977
1.365,0.33847448,0.38841185,3.0264835,-0.06317052,7.719742
1.37,0.33928078,0.388032,3.0264452,-0.063157454,7.719879
1.375,0.34008628,0.38765258,3.026407,-0.06314249,7.720093
1.3800000000000001,0.34089106,0.38727224,3.0263686,-0.06313027,7.719467
1.385,0.34169507,0.38689402,3.0263305,-0.063110515,7.720688
1.3900000000000001,0.3424983,0.38651422,3.026292,-0.063095555,7.719696
1.395,0.34330082,0.38613695,3.026254,-0.063071884,7.7211304
1.4000000000000001,0.34410253,0.38575777,3.0262158,-0.063054115,7.71994
1.405,0.3449035,0.38537997,3.0261776,-0.063031346,7.720703
1.41,0.34570375,0.38500205,3.0261397,-0.06300848,7.7205963
1.415,0.3465032,0.38462335,3.0261016,-0.06298767,7.720093
1.42,0.3473019,0.38424692,3.0260637,-0.06295897,7.7213745
1.425,0.3480999,0.38386875,3.0260258,-0.06293568,7.720276
1.43,0.34889707,0.38349175,3.0259879,-0.06290809,7.7209167
1.435,0.3496935,0.3831149,3.02595,-0.06287966,7.720932
1.44,0.35,1.2209639e-05,3.0242963,-1.3297032,7.721115
1.445,0.35,1.415587e-05,3.0216322,-1.3278856,325.54498
1.45,0.35,1.606252e-05,3.0189726,-1.3260392,334.4891
1.455,0.35,1.7962884e-05,3.016318,-1.3241639,343.41605
1.46,0.35,1.9797706e-05,3.013668,-1.3222593,352.32416
1.465,0.35,2.17458e-05,3.0110226,-1.3203253,361.2151
1.47,0.35,2.3628003e-05,3.008382,-1.3183625,370.08868
1.475,0.35,2.5503803e-05,3.0057466,-1.3163702,378.94348
1.48,0.35,2.7373433e-05,3.003116,-1.3143494,387.77942
1.485,0.35,2.935552e-05,3.00049,-1.3122991,396.59735
1.49,0.35,3.1092786e-05,2.9978695,-1.3102207,405.3972
1.495,0.35,3.2942626e-05,2.9952538,-1.3081126,414.17673
1.5,0.35,3.4785946e-05,2.9926434,-1.305975,422.93817
1.5050000000000001,0.35,3.662228e-05,2.9900382,-1.303809,431.67993
1.51,0.35,3.8451748e-05,2.9874382,-1.3016144,440.402
1.5150000000000001,0.35,4.027388e-05,2.9848437,-1.2993902,449.10455
1.52,0.35,4.2089378e-05,2.9822545,-1.2971369,457.78656
1.5250000000000001,0.35,4.389789e-05,2.9796708,-1.2948543,466.44894
1.53,0.35,4.5699184e-05,2.9770925,-1.2925428,475.09082
1.5350000000000001,0.35,4.7493377e-05,2.9745197,-1.2902026,483.71228
1.54,0.35,4.9280352e-05,2.9719524,-1.2878332,492.31326
1.545,0.35,5.1059644e-05,2.9693909,-1.2854358,500.8938
1.55,0.35,5.2828225e-05,2.966835,-1.2830088,509.45312
1.555,0.35,5.459285e-05,2.964285,-1.2805527,517.99115
1.56,0.35,5.635002e-05,2.9617407,-1.2780676,526.5079
1.565,0.35,5.8099395e-05,2.9592023,-1.2755533,535.0025
1.57,0.35,5.9841317e-05,2.9566698,-1.2730104,543.47595
1.575,0.35,6.1575556e-05,2.9541433,-1.2704386,551.92725
1.58,0.35,6.3301646e-05,2.9516227,-1.2678379,560.35657
1.585,0.35,6.5020286e-05,2.9491081,-1.2652079,568.76373
1.59,0.35,6.673089e-05,2.9465995,-1.2625488,577.1488
1.595,0.35,6.8433816e-05,2.9440973,-1.2598614,585.5118
1.6,0.35,7.012859e-05,2.941601,-1.2571442,593.8512
1.605,0.35,7.181533e-05,2.9391112,-1.2543986,602.1684
1.61,0.35,7.349427e-05,2.9366276,-1.2516243,610.462
1.615,0.35,7.516472e-05,2.9341505,-1.2488211,618.73267
1.62,0.35,7.6827244e-05,2.93168,-1.2459891,626.9796
1.625,0.35,7.848116e-05,2.9292157,-1.2431273,635.20215
1.6300000000000001,0.35,8.024613e-05,2.926758,-1.2402371,643.4017
1.635,0.35,8.176442e-05,2.924307,-1.2373188,651.57666
1.6400000000000001,0.35,8.339365e-05,2.9218626,-1.2343713,659.7273
1.645,0.35,8.501427e-05,2.919425,-1.231395,667.85425
1.6500000000000001,0.35,8.662639e-05,2.916994,-1.228389,675.95593
1.655,0.35,8.823001e-05,2.9145703,-1.2253546,684.03296
1.6600000000000001,0.35,8.982455e-05,2.9121532,-1.2222911,692.08386
1.665,0.35,9.141117e-05,2.9097428,-1.2191988,700.1104
1.67,0.35,9.286974e-05,2.9073398,-1.2160786,708.1123
1.675,0.35,9.443867e-05,2.9049437,-1.212929,716.0874
1.68,0.35,9.611796e-05,2.9025548,-1.2097495,724.0372
1.685,0.35,9.766966e-05,2.900173,-1.2065426,731.9607
1.69,0.35,9.920861e-05,2.8977983,-1.2033064,739.8582
1.695,0.35,0.00010074227,2.895431,-1.200041,747.72955
1.7,0.35,0.00010226725,2.8930714,-1.1967479,755.574
1.705,0.35,0.00010378333,2.8907187,-1.1934258,763.39075
1.71,0.35,0.00010529009,2.8883736,-1.1900744,771.1821
1.715,0.35,0.000106788124,2.886036,-1.1866951,778.94574
1.72,0.35,0.0001085159,2.8837059,-1.1832865,786.6825
